Symbol,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
CRUS,CRUS,"Cirrus Logic, Inc.",63.92,4105706372,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus
CSCO,CSCO,"Cisco Systems, Inc.",32.82,1.64358E+11,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
CTRN,CTRN,"Citi Trends, Inc.",17.8,265965784.4,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/ctrn
CZNC,CZNC,Citizens & Northern Corp,23.38,283921482.9,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cznc
CZWI,CZWI,"Citizens Community Bancorp, Inc.",14.15,74526564.25,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/czwi
CZFC,CZFC,Citizens First Corporation,18.7,37756272.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/czfc
CIZN,CIZN,Citizens Holding Company,23.25,113624586.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cizn
CTXS,CTXS,"Citrix Systems, Inc.",83.09,12991321747,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs
CHCO,CHCO,City Holding Company,67.47,1051520625,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chco
CIVB,CIVB,"Civista Bancshares, Inc. ",21.51,216769520.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civb
CIVBP,CIVBP,"Civista Bancshares, Inc. ",66.05,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civbp
CDTI,CDTI,"Clean Diesel Technologies, Inc.",3.1669,49730783.94,n/a,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cdti
CLNE,CLNE,Clean Energy Fuels Corp.,2.49,374726183.1,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/clne
CLNT,CLNT,"Cleantech Solutions International, Inc.",3.48,4925734.68,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clnt
CLFD,CLFD,"Clearfield, Inc.",15.85,224164806.5,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clfd
CLRO,CLRO,"ClearOne, Inc.",9.9,86538018.6,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clro
CLSD,CLSD,"Clearside Biomedical, Inc.",7.43,187875098.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clsd
CLIR,CLIR,ClearSign Combustion Corporation,3.6,56155870.8,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clir
CLIRW,CLIRW,ClearSign Combustion Corporation,1.2907,0,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clirw
CBLI,CBLI,"Cleveland BioLabs, Inc.",4,43948664,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/cbli
CSBK,CSBK,Clifton Bancorp Inc.,16.27,374599129.6,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/csbk
CLVS,CLVS,"Clovis Oncology, Inc.",54.39,2427234954,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clvs
CMFN,CMFN,CM Finance Inc,10.7,146466318.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cmfn
CME,CME,CME Group Inc.,118.77,40357833758,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cme
CCNE,CCNE,CNB Financial Corporation,24.72,378150739.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ccne
CWAY,CWAY,"Coastway Bancorp, Inc.",18.5,81343408.5,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cway
COBZ,COBZ,CoBiz Financial Inc.,16.98,705945622.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cobz
COKE,COKE,Coca-Cola Bottling Co. Consolidated,204.9,1912571228,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/coke
CDXS,CDXS,"Codexis, Inc.",4.25,175876436.8,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cdxs
CVLY,CVLY,"Codorus Valley Bancorp, Inc",27.49,231775227.4,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cvly
JVA,JVA,"Coffee Holding Co., Inc.",4.76,27909317.52,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/jva
CCOI,CCOI,"Cogent Communications Holdings, Inc.",43.85,1997287430,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/ccoi
CGNT,CGNT,"Cogentix Medical, Inc.",1.7,102746230.3,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cgnt
COGT,COGT,"Cogint, Inc.",5.3,285098755.4,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/cogt
CGNX,CGNX,Cognex Corporation,82.54,7152037266,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cgnx
CTSH,CTSH,Cognizant Technology Solutions Corporation,57.85,34073369138,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh
COHR,COHR,"Coherent, Inc.",205.47,5045075039,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/cohr
CHRS,CHRS,"Coherus BioSciences, Inc.",18.35,941135295.5,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/chrs
COHU,COHU,"Cohu, Inc.",18.92,510534877.2,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/cohu
CLCT,CLCT,"Collectors Universe, Inc.",26.02,232124368,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/clct
COLL,COLL,"Collegium Pharmaceutical, Inc.",10.24,301655623.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/coll
CIGI,CIGI,Colliers International Group Inc. ,49.65,1859636629,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cigi
CBAN,CBAN,"Colony Bankcorp, Inc.",13.65,115195871.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cban
COLB,COLB,"Columbia Banking System, Inc.",39.09,2279962089,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/colb
COLM,COLM,Columbia Sportswear Company,58.44,4060705445,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/colm
CMCO,CMCO,Columbus McKinnon Corporation,25.44,572927269.4,n/a,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/cmco
CBMX,CBMX,CombiMatrix Corporation,4.8,13750238.4,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cbmx
CBMXW,CBMXW,CombiMatrix Corporation,1.09,0,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cbmxw
CMCSA,CMCSA,Comcast Corporation,38.16,1.81321E+11,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsa
CBSH,CBSH,"Commerce Bancshares, Inc.",54.97,5588735255,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbsh
CBSHP,CBSHP,"Commerce Bancshares, Inc.",25.6,2345994342,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbshp
CUBN,CUBN,"Commerce Union Bancshares, Inc.",21.53,168503468.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubn
CHUBA,CHUBA,"CommerceHub, Inc.",15.55,668462824.7,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chuba
CHUBK,CHUBK,"CommerceHub, Inc.",15.45,664164028.4,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chubk
CVGI,CVGI,"Commercial Vehicle Group, Inc.",8.4,259158706.8,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cvgi
COMM,COMM,"CommScope Holding Company, Inc.",40.93,7968580045,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/comm
JCS,JCS,"Communications Systems, Inc.",4.47,39920604.48,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcs
ESXB,ESXB,Community Bankers Trust Corporation.,7.7,169087903.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esxb
CCFI,CCFI,Community Choice Financial Inc.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ccfi
CYHHZ,CYHHZ,"Community Health Systems, Inc.",0.0087,0,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cyhhz
CTBI,CTBI,"Community Trust Bancorp, Inc.",43.85,774429061.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ctbi
CWBC,CWBC,Community West Bancshares,10.25,83057174.75,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cwbc
CVLT,CVLT,"Commvault Systems, Inc.",50.15,2260745350,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvlt
CGEN,CGEN,Compugen Ltd.,3.95,201969559.3,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cgen
CPSI,CPSI,"Computer Programs and Systems, Inc.",26.15,353892735.5,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/cpsi
CTG,CTG,"Computer Task Group, Incorporated",5.89,89862981.97,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ctg
CHCI,CHCI,"Comstock Holding Companies, Inc.",1.98,6813667.08,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/chci
CMTL,CMTL,Comtech Telecommunications Corp.,14.09,331864010.3,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl
CNAT,CNAT,Conatus Pharmaceuticals Inc.,7.54,197321015.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnat
CNCE,CNCE,"Concert Pharmaceuticals, Inc.",15.7,350565017.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnce
CXRX,CXRX,Concordia International Corp.,1.36,69482107.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cxrx
CCUR,CCUR,Concurrent Computer Corporation,4.85,47703077.1,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ccur
CDOR,CDOR,"Condor Hospitality Trust, Inc.",10.67,72217355.54,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdor
CFMS,CFMS,"ConforMIS, Inc.",5.29,231808540.6,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/cfms
CNFR,CNFR,"Conifer Holdings, Inc.",7.8,59537938.2,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cnfr
CNMD,CNMD,CONMED Corporation,47.34,1319444952,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cnmd
CTWS,CTWS,"Connecticut Water Service, Inc.",55.65,612923312.4,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/ctws
CNOB,CNOB,"ConnectOne Bancorp, Inc.",23.7,757768537.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cnob
CNXR,CNXR,"Connecture, Inc.",0.8495,19185566.73,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnxr
CONN,CONN,"Conn&#39;s, Inc.",14.15,438052587,n/a,n/a,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/conn
CNSL,CNSL,"Consolidated Communications Holdings, Inc.",24.02,1215552373,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cnsl
CWCO,CWCO,Consolidated Water Co. Ltd.,11.3,168049803.2,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cwco
CPSS,CPSS,"Consumer Portfolio Services, Inc.",4.61,108619003.7,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cpss
CFRX,CFRX,ContraFect Corporation,1.65,68732409.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrx
CTRV,CTRV,ContraVir Pharmaceuticals Inc,1.41,89827360.68,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctrv
CTRL,CTRL,Control4 Corporation,16.25,394478776.3,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/ctrl
CPAA,CPAA,Conyers Park Acquisition Corp.,11.7,588656250,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/cpaa
CPAAU,CPAAU,Conyers Park Acquisition Corp.,12.7,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/cpaau
CPAAW,CPAAW,Conyers Park Acquisition Corp.,2.6,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/cpaaw
CPRT,CPRT,"Copart, Inc.",30.24,27783926312,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cprt
CRBP,CRBP,"Corbus Pharmaceuticals Holdings, Inc.",6.5,325934323,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crbp
CORT,CORT,Corcept Therapeutics Incorporated,9.11,1028905182,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cort
CORE,CORE,"Core-Mark Holding Company, Inc.",33.6,1556279357,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/core
CORI,CORI,"Corium International, Inc.",4.53,132388307.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cori
CSOD,CSOD,"Cornerstone OnDemand, Inc.",36.8,2084975171,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/csod
CRVL,CRVL,CorVel Corp.,42.6,814852033.2,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/crvl
CRVS,CRVS,"Corvus Pharmaceuticals, Inc.",9.8,205158237.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crvs
CSGP,CSGP,"CoStar Group, Inc.",215.32,7019366543,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/csgp
COST,COST,Costco Wholesale Corporation,170.77,74957991456,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cost
CPAH,CPAH,CounterPath Corporation,2.203,11028757.74,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cpah
ICBK,ICBK,"County Bancorp, Inc.",29.47,194950887,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/icbk
COUP,COUP,Coupa Software Incorporated,30.41,1535560218,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/coup
CVTI,CVTI,"Covenant Transportation Group, Inc.",19.28,356731439,n/a,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/cvti
COVS,COVS,Covisint Corporation,1.85,75601909.45,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/covs
COWN,COWN,"Cowen Group, Inc.",13.4,365987406.2,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cown
COWNL,COWNL,"Cowen Group, Inc.",27.26,0,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cownl
PMTS,PMTS,CPI Card Group Inc.,3.9,215901078.9,n/a,n/a,Finance,Finance Companies,http://www.nasdaq.com/symbol/pmts
CPSH,CPSH,CPS Technologies Corp.,1.44,19012947.84,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cpsh
CRAI,CRAI,"CRA International,Inc.",37.91,323871574.7,n/a,n/a,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/crai
CBRL,CBRL,"Cracker Barrel Old Country Store, Inc.",158.88,3819883998,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cbrl
BREW,BREW,"Craft Brew Alliance, Inc.",12.5,240765562.5,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/brew
CRAY,CRAY,Cray Inc,19.1,778064819.8,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/cray
CACC,CACC,Credit Acceptance Corporation,206.47,4104180928,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cacc
GLDI,GLDI,Credit Suisse Gold Shares Covered Calls ETN,9.64,130384875.3,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gldi
SLVO,SLVO,Credit Suisse Silver Shares Covered Call ETN,9.0164,7663940,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/slvo
CREE,CREE,"Cree, Inc.",24.66,2402005771,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/cree
CRESY,CRESY,Cresud S.A.C.I.F. y A.,20.59,805030290.8,39098120,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cresy
CRSP,CRSP,CRISPR Therapeutics AG,16.97,683184437.1,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/crsp
CRTO,CRTO,Criteo S.A.,51.71,3149359285,60904260,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/crto
CROX,CROX,"Crocs, Inc.",6.09,448777587.1,n/a,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/crox
CCRN,CCRN,"Cross Country Healthcare, Inc.",14.14,512535521.1,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/ccrn
XRDC,XRDC,"Crossroads Capital, Inc.",2.2199,21229192.29,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/xrdc
CRDS,CRDS,"Crossroads Systems, Inc.",3.38,4142095.36,n/a,n/a,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/crds
CRWS,CRWS,"Crown Crafts, Inc.",7.95,79762039.95,n/a,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/crws
CYRX,CYRX,"CryoPort, Inc.",2.43,58148157.69,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/cyrx
CYRXW,CYRXW,"CryoPort, Inc.",0.84,0,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/cyrxw
CSGS,CSGS,"CSG Systems International, Inc.",37.52,1269567729,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/csgs
CCLP,CCLP,CSI Compressco LP,9.31,316854715.2,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cclp
CSPI,CSPI,CSP Inc.,10.39,39697457.43,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/cspi
CSWI,CSWI,"CSW Industrials, Inc.",35.7,565777776.9,n/a,n/a,Basic Industries,Home Furnishings,http://www.nasdaq.com/symbol/cswi
CSX,CSX,CSX Corporation,50.77,46841481319,n/a,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/csx
CTIC,CTIC,CTI BioPharma Corp.,3.91,110362846.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctic
CTIB,CTIB,CTI Industries Corporation,5.55,19565009.85,n/a,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/ctib
CTRP,CTRP,"Ctrip.com International, Ltd.",47.16,19783953138,419507064,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ctrp
CUNB,CUNB,CU Bancorp (CA),36.65,652631021.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cunb
CUI,CUI,"CUI Global, Inc.",4.325,90604939.68,n/a,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/cui
CPIX,CPIX,Cumberland Pharmaceuticals Inc.,5.94,95119637.58,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cpix
CMLS,CMLS,Cumulus Media Inc.,0.2331,6831315.779,n/a,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cmls
CRIS,CRIS,"Curis, Inc.",2.53,362284868,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cris
CUTR,CUTR,"Cutera, Inc.",20.3,281488488.4,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cutr
CVBF,CVBF,CVB Financial Corporation,21.27,2342004753,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cvbf
CVV,CVV,CVD Equipment Corporation,10.57,67264203.3,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvv
CYAN,CYAN,Cyanotech Corporation,3.85,21825191.85,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cyan
CYBR,CYBR,CyberArk Software Ltd.,51.88,1785876705,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cybr
CYBE,CYBE,CyberOptics Corporation,23.8,165246660.6,n/a,n/a,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/cybe
CYCC,CYCC,"Cyclacel Pharmaceuticals, Inc.",5.11,21830027.31,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cycc
CYCCP,CYCCP,"Cyclacel Pharmaceuticals, Inc.",7.35,2464256.55,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cyccp
CBAY,CBAY,CymaBay Therapeutics Inc.,3.58,102933774.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbay
CY,CY,Cypress Semiconductor Corporation,13.99,4607790385,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/cy
CYRN,CYRN,CYREN Ltd.,2,78333104,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyrn
CONE,CONE,CyrusOne Inc,54.155,4757360188,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cone
CYTK,CYTK,"Cytokinetics, Incorporated",14.25,616188254.3,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cytk
CTMX,CTMX,"CytomX Therapeutics, Inc.",16.48,602646029,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctmx
CYTX,CYTX,Cytori Therapeutics Inc,1.01,23879802.69,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytx
CYTXW,CYTXW,Cytori Therapeutics Inc,0.63,0,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytxw
CTSO,CTSO,Cytosorbents Corporation,4.6,129298557.2,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ctso
CYTR,CYTR,CytRx Corporation,0.613,71918934.64,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cytr
DJCO,DJCO,Daily Journal Corp. (S.C.),211.85,292511040.1,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/djco
DAKT,DAKT,"Daktronics, Inc.",9.16,403658877.1,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/dakt
DRIO,DRIO,DarioHealth Corp.,2.7,25451606.7,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/drio
DRIOW,DRIOW,DarioHealth Corp.,0.3706,0,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/driow
DZSI,DZSI,"DASAN Zhone Solutions, Inc.",5.98,19587705.28,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/dzsi
DSKE,DSKE,"Daseke, Inc.",9.79,369239248.4,n/a,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/dske
DSKEW,DSKEW,"Daseke, Inc.",1.11,0,n/a,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/dskew
DAIO,DAIO,Data I/O Corporation,4.78,38471906.48,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/daio
DRAM,DRAM,Dataram Corporation,1.21,5830585.86,n/a,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/dram
DWCH,DWCH,Datawatch Corporation,9.25,110942742.5,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dwch
PLAY,PLAY,"Dave & Buster&#39;s Entertainment, Inc.",62.72,2633392465,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/play
DTEA,DTEA,DAVIDsTEA Inc.,6.45,164188039.5,n/a,n/a,Consumer Non-Durables,Food Chains,http://www.nasdaq.com/symbol/dtea
DFNL,DFNL,Davis Select Financial ETF,20.41,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dfnl
DUSA,DUSA,Davis Select U.S. Equity ETF,20.2,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dusa
DWLD,DWLD,Davis Select Worldwide ETF,21.13,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwld
DWSN,DWSN,Dawson Geophysical Company,5.37,116333682.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dwsn
DBVT,DBVT,DBV Technologies S.A.,32.62,801759868.8,24578782,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/dbvt
DFRG,DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",18.4,402303561.6,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dfrg
TACO,TACO,"Del Taco Restaurants, Inc.",13.27,511145829.5,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/taco
TACOW,TACOW,"Del Taco Restaurants, Inc.",3.75,0,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/tacow
DCTH,DCTH,"Delcath Systems, Inc.",0.0611,6932282.028,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dcth
DMPI,DMPI,"DelMar Pharmaceuticals, Inc.",2.8,29938756.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/dmpi
DGAS,DGAS,"Delta Natural Gas Company, Inc.",30.2,215279854.4,n/a,n/a,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/dgas
